imdb_id,status
tt8111088,Cancelled
tt8510382,Cancelled
tt10196390,Concluded
tt7759016,Cancelled
tt10167284,Cancelled
tt10163846,Cancelled
tt11199558,Cancelled
tt11199552,Cancelled
tt10854760,Cancelled
tt9695266,Concluded
tt12579042,Cancelled
tt6974848,Cancelled
tt0458290,Concluded
tt10225108,Concluded
tt11998854,Concluded
tt10219416,Concluded
tt10162496,Cancelled
tt12162902,Cancelled
tt12105232,Cancelled
tt11241096,Concluded
tt12372034,Concluded
tt10857210,Cancelled
tt10225100,Cancelled
tt6057106,Cancelled
tt11176048,Concluded
tt5654778,Concluded
tt10196378,Concluded
tt7423322,Concluded
tt8111088,Cancelled
tt11853160,Concluded
tt13302848,Cancelled
tt10162586,Concluded
tt13089270,Concluded
tt11097576,Concluded
tt13650480,Concluded
tt14094206,Concluded
tt7939768,Cancelled
tt11238096,Cancelled
tt12708542,Cancelled
tt8510382,Cancelled
tt14465474,Cancelled
tt9140554,Concluded
tt12372034,Concluded
tt11875316,Cancelled
tt8610082,Cancelled
tt11547014,Cancelled
tt11069436,Cancelled
tt10516496,Cancelled
tt12579042,Cancelled
tt10168312,Concluded
tt9695266,Concluded
tt13891272,Cancelled
tt12225230,Cancelled
tt13622982,Cancelled
tt12286434,Concluded
tt10196390,Concluded
tt13891870,Concluded
tt13623992,Concluded
tt13644666,Concluded
tt13304700,Concluded
tt11871764,Concluded
tt14502780,Concluded
tt11852810,Concluded
tt9145308,Concluded
tt13891702,Concluded
tt13574490,Concluded
tt14584108,Concluded
tt8510382,Cancelled
tt13623148,Concluded
tt21441266,Cancelled
tt18069908,Concluded
tt15566204,Cancelled
tt0463398,Concluded
tt9253284,Cancelled
tt15039908,Cancelled
tt7939768,Cancelled
tt11238096,Cancelled
tt11875316,Cancelled
tt13622956,Cancelled
tt22187310,Concluded
tt14488928,Concluded
tt11714334,Concluded
tt17047510,Concluded
tt10278918,Concluded
tt12580982,Concluded
tt12708542,Cancelled
tt10196378,Concluded
tt23744508,Concluded
tt11871764,Concluded
tt15551300,Concluded
tt15559540,Concluded
tt8111088,Cancelled
tt26901868,Cancelled
tt12225230,Cancelled
tt14502780,Concluded
tt14296996,Concluded
tt15090858,Concluded
tt18069838,Concluded
tt13622982,Cancelled
tt10516496,Cancelled
tt13891870,Concluded
tt15552018,Cancelled
tt14107656,Concluded
tt14866860,Concluded
tt27282525,Concluded
tt8510382,Cancelled
tt13622776,Concluded
tt13623148,Concluded
tt28550655,Concluded
tt13574490,Concluded
tt20447008,Concluded
tt14465474,Cancelled
tt9140554,Concluded
tt17720272,Concluded
tt11069436,Cancelled
tt17047510,Concluded
tt12324366,Concluded
tt10168312,Concluded
tt12262202,Concluded
tt16026746,Concluded
tt16027074,Cancelled
tt18923754,Concluded
tt2312036,Concluded
tt4789576,Concluded
tt5875646,Concluded
tt5620076,Concluded
tt5520392,Concluded
tt5834204,Concluded
tt1236246,Cancelled
tt6548228,Concluded
tt8427140,Cancelled
tt8619822,Cancelled
tt9113406,Cancelled
tt8594028,Cancelled
tt2187319,Cancelled
tt2883562,Cancelled
tt3147316,Cancelled
tt3453512,Concluded
tt4633166,Concluded
tt3432810,Concluded
tt4676574,Concluded
tt4577466,Concluded
tt4975856,Concluded
tt7292950,Concluded
tt8324422,Concluded
tt8962130,Concluded
tt7649694,Concluded
tt7661046,Concluded
tt8577458,Cancelled
tt2235759,Cancelled
tt10166602,Cancelled
tt2818496,Cancelled
tt8910922,Concluded
tt8777690,Concluded
tt10394790,Concluded
tt2269658,Concluded
tt2057511,Concluded
tt2188577,Concluded
tt2884130,Concluded
tt5122514,Concluded
tt11203896,Concluded
tt1826909,Concluded
tt2404125,Concluded
tt7509270,Concluded
tt12244950,Concluded
tt0459159,Concluded
tt3107224,Concluded
tt2603596,Concluded
tt5761478,Concluded
tt7412482,Concluded
tt8050586,Concluded
tt8602408,Concluded
tt8629150,Concluded
tt8430356,Concluded
tt10404664,Concluded
tt10193046,Concluded
tt7411098,Concluded
tt2211129,Concluded
tt3314218,Concluded
tt0412253,Concluded
tt5094726,Concluded
tt7708720,Concluded
tt7755494,Concluded
tt2319283,Concluded
tt7150060,Concluded
tt5830254,Concluded
tt4647692,Concluded
tt3502248,Concluded
tt3973768,Concluded
tt1740299,Concluded
tt2805574,Concluded
tt4687880,Concluded
tt4687892,Concluded
tt5011816,Concluded
tt4878612,Concluded
tt4687882,Concluded
tt3390892,Concluded
tt6130902,Concluded
tt5057054,Concluded
tt7008682,Concluded
tt6932244,Concluded
tt1190634,Concluded
tt1869454,Concluded
tt0489974,Concluded
tt7456722,Concluded
tt8741290,Concluded
tt3012184,Cancelled
tt3012160,Concluded
tt3496764,Concluded
tt3012532,Concluded
tt3502262,Concluded
tt3502172,Concluded
tt3952746,Concluded
tt3973820,Concluded
tt4196686,Concluded
tt4947608,Concluded
tt5478730,Concluded
tt5834198,Concluded
tt5540054,Concluded
tt1292576,Concluded
tt5788792,Concluded
tt1082583,Concluded
tt8543390,Concluded
tt11569530,Concluded
tt7826376,Concluded
tt8101850,Concluded
tt5523460,Concluded
tt8271176,Concluded
